year,month,period,ncm,ncm_bucket,country_code,country_name,importer_state,transport_code,transport_name,urf_code,urf_name,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
1997,11,1997-11-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",161,Taiwan (Formosa),RS,07,RODOVIARIA,1015300,1015300 - CHUI,2304,1935,25373,287,0,25660,11.012587,0.839844,13.112661,1
1997,2,1997-02-01,64041100,"6404.11.00 - Sports footwear, textile upper",399,Japão,SP,04,AEREA,0817600,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,60,24,286,66,0,352,4.766667,0.4,11.916667,1
1997,7,1997-07-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",160,China,RS,07,RODOVIARIA,1015300,1015300 - CHUI,3102,2606,47564,477,0,48041,15.333333,0.840103,18.251727,1
1997,9,1997-09-01,64041100,"6404.11.00 - Sports footwear, textile upper",351,Hong Kong,AM,01,MARITIMA,0227600,0227600 - PORTO DE MANAUS,3264,2500,32640,4000,0,36640,10.0,0.765931,13.056,1
1997,6,1997-06-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",160,China,SP,01,MARITIMA,0817800,0817800 - PORTO DE SANTOS,5260,3498,100217,2539,344,103100,19.052662,0.665019,28.6498,1
1997,11,1997-11-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",160,China,RS,07,RODOVIARIA,1015300,1015300 - CHUI,3954,3321,44321,506,0,44827,11.209155,0.839909,13.345679,1
1997,6,1997-06-01,64041100,"6404.11.00 - Sports footwear, textile upper",190,Coreia do Sul,SP,04,AEREA,0817600,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,109,76,3324,395,29,3748,30.495413,0.697248,43.736842,1
1997,10,1997-10-01,64041100,"6404.11.00 - Sports footwear, textile upper",365,Indonésia,SP,04,AEREA,0817600,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,1174,558,28139,2921,239,31299,23.968484,0.475298,50.428315,1
1997,8,1997-08-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",386,Itália,RS,07,RODOVIARIA,1015300,1015300 - CHUI,24,20,353,2,0,355,14.708333,0.833333,17.65,1
1997,2,1997-02-01,64041100,"6404.11.00 - Sports footwear, textile upper",160,China,RS,07,RODOVIARIA,1015300,1015300 - CHUI,1548,1268,27601,82,0,27683,17.830103,0.819121,21.76735,1
