year,month,period,country_code,country_name,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
1997,1,1997-01-01,063,Argentina,100348,75166,2854122,22759,27572,2904453,28.442241,0.749053,37.970918,1
1997,1,1997-01-01,158,Chile,158,1280,9480,400,0,9880,60.0,8.101266,7.40625,1
1997,1,1997-01-01,160,China,12558,14045,152715,7227,764,160706,12.160774,1.118411,10.873265,2
1997,1,1997-01-01,190,Coreia do Sul,5040,5100,152712,5250,1072,159034,30.3,1.011905,29.943529,1
1997,1,1997-01-01,365,Indonésia,16896,13453,441176,18350,3102,462628,26.111269,0.796224,32.793875,1
1997,1,1997-01-01,776,Tailândia,10592,10700,260756,9400,1821,271977,24.618202,1.010196,24.36972,1
1997,2,1997-02-01,063,Argentina,145820,115991,4249435,35566,41066,4326067,29.141647,0.79544,36.635903,1
1997,2,1997-02-01,160,China,75757,92878,745045,50111,2552,797708,9.834669,1.225999,8.02176,13
1997,2,1997-02-01,161,Taiwan (Formosa),1524,1411,17170,766,38,17974,11.266404,0.925853,12.168675,2
1997,2,1997-02-01,169,Colômbia,3866,1623,69605,1210,0,70815,18.004397,0.419814,42.88663,1
1997,2,1997-02-01,190,Coreia do Sul,35,28,403,175,0,578,11.514286,0.8,14.392857,1
1997,2,1997-02-01,249,Estados Unidos,483,421,4579,519,0,5098,9.480331,0.871636,10.876485,3
1997,2,1997-02-01,267,Filipinas,3456,3112,31104,1270,0,32374,9.0,0.900463,9.994859,1
1997,2,1997-02-01,275,França,7632,6380,100037,4511,0,104548,13.107573,0.835954,15.679781,1
1997,2,1997-02-01,351,Hong Kong,260,5200,7800,2394,0,10194,30.0,20.0,1.5,1
1997,2,1997-02-01,365,Indonésia,46371,48106,660776,35518,3316,699610,14.249768,1.037416,13.735833,6
1997,2,1997-02-01,386,Itália,2193,1817,24779,783,23,25585,11.299134,0.828545,13.637314,3
1997,2,1997-02-01,399,Japão,408,131,2788,250,0,3038,6.833333,0.321078,21.282443,2
1997,2,1997-02-01,580,Panamá,7707,9273,56917,4365,0,61282,7.385104,1.203192,6.137927,2
1997,2,1997-02-01,776,Tailândia,3000,2125,41643,2150,119,43912,13.881,0.708333,19.596706,1
1997,2,1997-02-01,845,Uruguai,1200,1020,15794,39,0,15833,13.161667,0.85,15.484314,1
1997,2,1997-02-01,858,Vietnã,19760,13841,264562,17560,1472,283594,13.388765,0.700455,19.11437,4
1997,3,1997-03-01,063,Argentina,178404,134262,5003625,37885,46491,5088001,28.046596,0.752573,37.267619,1
1997,3,1997-03-01,160,China,69305,58156,722229,51827,3726,777782,10.421023,0.839131,12.418822,12
1997,3,1997-03-01,161,Taiwan (Formosa),192,233,9216,4271,92,13579,48.0,1.213542,39.553648,1
1997,3,1997-03-01,187,Coreia do Norte,252,291,7812,2093,65,9970,31.0,1.154762,26.845361,1
1997,3,1997-03-01,190,Coreia do Sul,8402,8319,261373,10037,1793,273203,31.108427,0.990121,31.4188,4
1997,3,1997-03-01,249,Estados Unidos,1300,1084,10476,1312,99,11887,8.058462,0.833846,9.664207,5
1997,3,1997-03-01,267,Filipinas,408,437,2194,400,0,2594,5.377451,1.071078,5.020595,1
1997,3,1997-03-01,351,Hong Kong,30020,12108,181440,15628,0,197068,6.043971,0.403331,14.985134,2
1997,3,1997-03-01,365,Indonésia,30955,22315,532507,16563,2035,551105,17.202617,0.720885,23.863186,6
1997,3,1997-03-01,386,Itália,978,787,28519,3537,21,32077,29.160532,0.804703,36.237611,4
1997,3,1997-03-01,399,Japão,728,603,15120,3476,69,18665,20.769231,0.828297,25.074627,2
1997,3,1997-03-01,776,Tailândia,10584,4536,269640,5900,1861,277401,25.47619,0.428571,59.444444,1
1997,3,1997-03-01,845,Uruguai,2776,2504,37302,252,0,37554,13.43732,0.902017,14.896965,1
1997,3,1997-03-01,858,Vietnã,10332,9082,151861,1255,0,153116,14.698122,0.879017,16.721097,2
1997,4,1997-04-01,063,Argentina,211760,160101,6080370,41802,58673,6180845,28.713496,0.756049,37.978339,1
1997,4,1997-04-01,160,China,122806,104834,1570000,75424,6708,1652132,12.784392,0.853655,14.976057,11
1997,4,1997-04-01,161,Taiwan (Formosa),1824,1835,74402,10231,535,85168,40.79057,1.006031,40.546049,3
1997,4,1997-04-01,187,Coreia do Norte,4032,4024,171360,3537,1166,176063,42.5,0.998016,42.584493,1
1997,4,1997-04-01,190,Coreia do Sul,1233,913,18838,5256,61,24155,15.278183,0.74047,20.633078,3
1997,4,1997-04-01,245,Espanha,720,750,9414,2341,36,11791,13.075,1.041667,12.552,1
1997,4,1997-04-01,249,Estados Unidos,3285,2315,23614,1633,432,25679,7.188432,0.704718,10.200432,3
1997,4,1997-04-01,267,Filipinas,158,123,1744,159,39,1942,11.037975,0.778481,14.178862,1
1997,4,1997-04-01,351,Hong Kong,5628,2251,77105,3800,0,80905,13.700249,0.399964,34.253665,1
1997,4,1997-04-01,365,Indonésia,78866,63253,1639343,56711,13009,1709063,20.786435,0.802031,25.917237,8
1997,4,1997-04-01,386,Itália,256,395,10848,145,1,10994,42.375,1.542969,27.463291,4
1997,4,1997-04-01,580,Panamá,788,859,5358,328,0,5686,6.799492,1.090102,6.237485,1
1997,4,1997-04-01,776,Tailândia,16080,11496,395904,13079,1944,410927,24.620896,0.714925,34.438413,2
1997,4,1997-04-01,858,Vietnã,26757,21169,268166,17946,960,287072,10.022275,0.791157,12.667863,5
1997,5,1997-05-01,063,Argentina,197096,147359,5550836,43474,53614,5647924,28.163108,0.747651,37.668795,1
1997,5,1997-05-01,160,China,51525,42881,815780,37098,4912,857790,15.832703,0.832237,19.024276,10
1997,5,1997-05-01,190,Coreia do Sul,12140,8473,383304,12175,2570,398049,31.573641,0.697941,45.238286,4
1997,5,1997-05-01,245,Espanha,3841,3516,42988,15727,184,58899,11.191877,0.915387,12.226394,1
1997,5,1997-05-01,249,Estados Unidos,197,131,1972,252,7,2231,10.010152,0.664975,15.053435,2
1997,5,1997-05-01,267,Filipinas,584,491,11360,588,15,11963,19.452055,0.840753,23.136456,2
1997,5,1997-05-01,351,Hong Kong,36,26,972,23,0,995,27.0,0.722222,37.384615,1
1997,5,1997-05-01,365,Indonésia,45064,33297,979381,33883,5330,1018594,21.733113,0.738882,29.413491,6
1997,5,1997-05-01,386,Itália,996,965,5674,496,2,6172,5.696787,0.968876,5.879793,4
1997,5,1997-05-01,399,Japão,5324,4150,56305,5619,49,61973,10.575695,0.779489,13.56747,2
1997,5,1997-05-01,776,Tailândia,6084,5643,109103,5812,215,115130,17.932774,0.927515,19.334219,3
1997,5,1997-05-01,858,Vietnã,12288,7111,321330,11098,2009,334437,26.149902,0.578695,45.187737,4
1997,6,1997-06-01,063,Argentina,211072,158002,6082500,45485,58728,6186713,28.817181,0.748569,38.496348,1
1997,6,1997-06-01,105,Brasil,1974,2284,12478,1530,63,14071,6.321175,1.157042,5.463222,2
1997,6,1997-06-01,160,China,119909,90814,1677509,73727,9982,1761218,13.989851,0.757358,18.471921,13
1997,6,1997-06-01,161,Taiwan (Formosa),103,72,3250,359,28,3637,31.553398,0.699029,45.138889,1
1997,6,1997-06-01,190,Coreia do Sul,190,173,4222,609,33,4864,22.221053,0.910526,24.404624,2
1997,6,1997-06-01,245,Espanha,213,56,2938,241,15,3194,13.793427,0.262911,52.464286,1
1997,6,1997-06-01,249,Estados Unidos,3138,2882,29128,757,0,29885,9.282345,0.918419,10.10687,2
1997,6,1997-06-01,351,Hong Kong,10233,10090,97260,8597,0,105857,9.504544,0.986026,9.639247,2
