year,month,period,importer_state,urf_code,urf_name,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
1997,1,1997-01-01,ES,0727600,0727600 - PORTO DE VITORIA,11982,13642,141529,6800,708,149037,11.811801,1.138541,10.374505,1
1997,1,1997-01-01,PR,0910600,0910600 - FOZ DO IGUACU,158,1280,9480,400,0,9880,60.0,8.101266,7.40625,1
1997,1,1997-01-01,SP,0817800,0817800 - PORTO DE SANTOS,33104,29656,865830,33427,6051,905308,26.154845,0.895843,29.195778,4
1997,1,1997-01-01,SP,1010900,1010900 - URUGUAIANA,100348,75166,2854122,22759,27572,2904453,28.442241,0.749053,37.970918,1
1997,2,1997-02-01,AM,0117600,0117600 - AEROPORTO INTERNACIONAL DE BRASILIA,630,623,7378,1482,0,8860,11.711111,0.988889,11.842697,1
1997,2,1997-02-01,AM,0227600,0227600 - PORTO DE MANAUS,31122,33462,297845,18819,0,316664,9.57024,1.075188,8.900992,8
1997,2,1997-02-01,AP,0210100,0210100 - BELEM,348,107,2502,184,0,2686,7.189655,0.307471,23.383178,1
1997,2,1997-02-01,AP,0240100,0240100 - MACAPA,9924,18150,40391,8265,0,48656,4.070032,1.8289,2.225399,2
1997,2,1997-02-01,CE,0317600,0317600 - PORTO DE FORTALEZA,4704,5328,60347,5341,776,66464,12.828869,1.132653,11.326389,2
1997,2,1997-02-01,CE,0817800,0817800 - PORTO DE SANTOS,12000,6414,109176,8850,576,118602,9.098,0.5345,17.021515,1
1997,2,1997-02-01,ES,0727600,0727600 - PORTO DE VITORIA,33810,26753,350095,20300,888,371283,10.354777,0.791275,13.086196,2
1997,2,1997-02-01,PR,0910151,0910151 - SAO JOSE DOS PINHAIS,2,2,4,4,0,8,2.0,1.0,2.0,1
1997,2,1997-02-01,PR,0915100,0915100 - ANTONINA,14,19330,38800,3200,0,42000,2771.428571,1380.714286,2.007243,1
1997,2,1997-02-01,RJ,0717700,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO,191,153,2197,955,0,3152,11.502618,0.801047,14.359477,2
1997,2,1997-02-01,RO,0250151,0250151 - GUAJARA-MIRIM,48,30,432,14,0,446,9.0,0.625,14.4,1
1997,2,1997-02-01,RS,1010252,1010252 - JAGUARAO,2916,2965,20278,515,0,20793,6.954047,1.016804,6.839123,1
1997,2,1997-02-01,RS,1010500,1010500 - RIO GRANDE,7760,10000,73836,4550,0,78386,9.514948,1.28866,7.3836,1
1997,2,1997-02-01,RS,1015300,1015300 - CHUI,6140,5100,93943,330,0,94273,15.300163,0.830619,18.420196,5
1997,2,1997-02-01,SC,0817600,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,45,25,90,283,0,373,2.0,0.555556,3.6,1
1997,2,1997-02-01,SP,0717600,0717600 - PORTO DO RIO DE JANEIRO,330,297,2310,129,0,2439,7.0,0.9,7.777778,1
