year,month,period,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
1997,1,1997-01-01,145592,119744,3870961,63386,34331,3968678,26.587731,0.822463,32.326973,7
1997,2,1997-02-01,319472,303357,6292437,157187,48586,6498210,19.696365,0.949557,20.742679,43
1997,3,1997-03-01,344636,254717,7233314,154436,56252,7444002,20.988272,0.73909,28.397453,43
1997,4,1997-04-01,474193,374318,10346466,232392,83564,10662422,21.819103,0.789379,27.640845,45
1997,5,1997-05-01,335175,254043,8279005,166245,68907,8514157,24.700544,0.757941,32.588991,40
1997,6,1997-06-01,397246,308760,8746182,160063,70477,8976722,22.017042,0.777251,28.326798,39
1997,7,1997-07-01,289690,226254,6906844,219115,58973,7184932,23.84219,0.781021,30.526948,43
1997,8,1997-08-01,372041,318172,8305591,186075,65187,8556853,22.324397,0.855207,26.104091,39
1997,9,1997-09-01,509023,427673,10040564,266966,50825,10358355,19.725168,0.840184,23.477199,40
1997,10,1997-10-01,581219,498296,12251832,309997,59894,12621723,21.079545,0.857329,24.587458,55
1997,11,1997-11-01,355986,306211,6322570,165962,26844,6515376,17.760727,0.860177,20.647756,43
1997,12,1997-12-01,182991,162231,3796126,86919,18922,3901967,20.744878,0.886552,23.399511,38
1998,1,1998-01-01,140997,123595,2460707,77569,11554,2549830,17.452194,0.876579,19.909438,34
1998,2,1998-02-01,164387,140463,2871426,80543,14212,2966181,17.467476,0.854465,20.442579,30
1998,3,1998-03-01,337523,302155,6383846,132856,34922,6551624,18.91381,0.895213,21.127719,41
1998,4,1998-04-01,227774,198005,3775196,111997,17899,3905092,16.574306,0.869305,19.066165,33
1998,5,1998-05-01,363161,311837,6596764,181413,37355,6815532,18.164847,0.858674,21.154526,45
1998,6,1998-06-01,212414,188395,4294822,90329,25348,4410499,20.21911,0.886924,22.7969,28
1998,7,1998-07-01,244544,207328,4495322,92566,24539,4612427,18.382467,0.847815,21.682175,36
1998,8,1998-08-01,191939,172246,2811301,71393,13471,2896165,14.646846,0.8974,16.32143,30
1998,9,1998-09-01,372118,319996,6259093,121394,38282,6418769,16.820183,0.859932,19.55991,41
1998,10,1998-10-01,315349,262594,4878370,129961,25423,5033754,15.469749,0.832709,18.577614,31
