brand,brand_bq,franchise_id_auto,franchise_label_auto,gen_auto,grandparent_name,normalized_name,cleaned,n_skus_gp,first_seen_gp,last_seen_gp,n_skus_franchise,n_gps_franchise,franchise_first_seen,franchise_last_seen,KEEP_MERGE_SPLIT,new_franchise_id,new_franchise_label,new_gen,note
Adidas,Adidas,adidas|adilete_shower,Adilete Shower,,Chinelo adidas Adilete Shower - Feminino,,Adilete Shower,6,2026-02-26,2026-05-21,6,1,2026-02-26,2026-05-21,,,,,
Adidas,Adidas,adidas|adilete_shower_u_slide,Adilete Shower U Slide,,Chinelo adidas Adilete Shower U Slide Unissex,,Adilete Shower U Slide,5,2025-07-28,2026-05-21,5,1,2025-07-28,2026-05-21,,,,,
Adidas,Adidas,adidas|adilette,Adilette,3,Sandália Infantil adidas Adilette 3,,Adilette 3,6,2026-05-21,2026-05-21,36,5,2025-07-28,2026-05-21,,,,,
Adidas,Adidas,adidas|adilette,Adilette,360,Chinelo adidas Adilette 360Rec Slide Unissex,,Adilette 360Rec Slide,5,2026-02-12,2026-05-21,36,5,2025-07-28,2026-05-21,,,,,
Adidas,Adidas,adidas|adilette,Adilette,,Chinelo adidas Adilette - Infantil,,Adilette,11,2025-07-28,2026-05-21,36,5,2025-07-28,2026-05-21,,,,,
Adidas,Adidas,adidas|adilette,Adilette,,Sandália Infantil adidas Adilette,,Adilette,8,2025-07-28,2026-01-15,36,5,2025-07-28,2026-05-21,,,,,
Adidas,Adidas,adidas|adilette,Adilette,,Chinelo adidas Adilette - Masculino,,Adilette,6,2025-07-28,2026-05-21,36,5,2025-07-28,2026-05-21,,,,,
Adidas,Adidas,adidas|adilette_aqua,Adilette Aqua,,Chinelo adidas Adilette Aqua - Unissex,,Adilette Aqua,101,2025-07-28,2026-05-21,255,16,2023-09-27,2026-05-21,,,,,
Adidas,Adidas,adidas|adilette_aqua,Adilette Aqua,,Chinelo adidas Adilette Aqua - Masculino,,Adilette Aqua,78,2023-09-27,2026-05-21,255,16,2023-09-27,2026-05-21,,,,,
Adidas,Adidas,adidas|adilette_aqua,Adilette Aqua,,Chinelo adidas Adilette Aqua Unissex,,Adilette Aqua,19,2025-09-11,2026-05-21,255,16,2023-09-27,2026-05-21,,,,,
