brand,franchise_label_auto,n_skus_franchise,n_gps_franchise,gens_detected,first_seen,last_seen,example_names,KEEP_MERGE_SPLIT,new_franchise_label,merge_with_franchise,note
Adidas,Runfalcon,1406,73,"3,5",2023-09-12,2026-05-21,Tênis Masculino adidas Runfalcon 5 | Tênis adidas RunFalcon 5 Feminino | Tênis adidas Runfalcon 5 - Feminino | Tênis adidas Runfalcon 5 Masculino,,,,
Adidas,VL Court 3.0,1141,35,,2025-07-28,2026-05-21,Tênis adidas VL Court 3.0 Masculino | Tênis Masculino adidas VL Court 3.0 | Tênis adidas VL Court 3.0 Feminino | Tênis adidas Vl Court 3.0 - Masculino,,,,
Adidas,Ultraboost,786,30,"5,22",2025-07-28,2026-05-21,Tênis adidas Ultraboost 5 Masculino | Tênis adidas Ultraboost 5 Feminino | Tênis adidas Ultraboost 5 - Masculino | Tênis adidas Ultraboost 5 - Feminino,,,,
Adidas,Duramo SL,745,20,2,2023-09-06,2026-05-21,Tênis adidas Duramo SL 2 Masculino | Tênis adidas Duramo Sl 2 - Feminino | Tênis adidas Duramo SL - Feminino | Tênis adidas Duramo SL 2 - Masculino,,,,
Adidas,Duramo Speed,725,28,2,2023-09-13,2026-05-21,Tênis adidas Duramo Speed 2 Masculino | Tênis Feminino adidas Duramo Speed 2 | Tênis adidas Duramo Speed 2 - Masculino | Tênis adidas Duramo Speed 2 Feminino,,,,
Adidas,Barreda,698,22,,2025-07-28,2026-05-21,Tênis adidas Barreda - Masculino | Tênis Masculino adidas Barreda | Tênis Feminino adidas Barreda | Tênis adidas Barreda - Feminino,,,,
Adidas,Grand Court 2.0,669,24,3,2023-08-12,2026-05-21,Tênis adidas Grand Court 2.0 - Infantil | Tênis adidas Grand Court 2.0 - Masculino | Tênis Infantil adidas Grand Court 2.0 | Tênis adidas Grand Court 2.0 - Feminino,,,,
Adidas,Grand Court Alpha,654,26,0,2025-07-28,2026-05-21,Tênis adidas Grand Court Alpha - Masculino | Tênis Feminino adidas Grand Court Alpha | Tênis Masculino adidas Grand Court Alpha | Tênis adidas Grand Court Alpha - Feminino,,,,
Adidas,F50 Club,608,35,,2025-07-28,2026-05-21,Chuteira Society Infantil adidas F50 Club | Chuteira Society Adulto adidas F50 Club | Chuteira Society adidas F50 Club - Adulto | Chuteira de Campo Infantil adidas F50 Club,,,,
Adidas,Advantage Base 2.0,570,24,,2025-07-28,2026-05-21,Tênis adidas Advantage Base 2.0 Infantil | Tênis adidas Advantage Base 2.0 - Masculino | Tênis adidas Advantage Base 2.0 Feminino | Tênis adidas Advantage Base 2.0 - Infantil,,,,
Adidas,F50 League,560,28,,2025-07-28,2026-05-21,Chuteira de Campo Adulto adidas F50 League | Chuteira Society Infantil adidas F50 League | Chuteira Society Adulto adidas F50 League | Chuteira Society Adulto Adidas F50 League,,,,
Adidas,Dropset,556,22,"2,3,4",2025-07-28,2026-05-21,Tênis adidas Dropset 3 - Unissex | Tênis Masculino adidas Dropset 4 Power Trainer | Tênis adidas Dropset 3 - Feminino | Tênis adidas Dropset 3 Trainer Feminino,,,,
Adidas,Predator Club,553,32,,2025-07-28,2026-05-21,Chuteira Society Infantil adidas Predator Club | Chuteira de Campo Adulto adidas Predator Club | Chuteira Society Adulto adidas Predator Club | Chuteira Society adidas Predator Club - Adulto,,,,
Adidas,Response,536,25,"2,3",2025-07-28,2026-05-21,Tênis Masculino adidas Response | Tênis Masculino adidas Response 2 | Tênis Masculino Adidas Response 2 | TÊNIS ADIDAS RESPONSE - MASCULINO,,,,
Adidas,Predator League,492,39,24,2025-07-28,2026-05-21,Chuteira Society Adulto adidas Predator League | Chuteira Society adidas Predator League - Adulto | Chuteira de Campo Adulto adidas Predator League | Chuteira de Campo Infantil Adidas Predator League,,,,
Adidas,Supernova Rise,480,24,"2,3",2025-07-28,2026-05-21,Tênis adidas Supernova Rise 2 Masculino | Tênis adidas Supernova Rise 2 - Masculino | Tênis Feminino adidas Supernova Rise 3 | Tênis Masculino adidas Supernova Rise 3,,,,
Adidas,Lite Racer 4.0,474,14,,2025-07-28,2026-05-21,Tênis adidas Lite Racer 4.0 Masculino | Tênis adidas Lite Racer 4.0 - Masculino | Tênis Feminino adidas Lite Racer 4.0 | Tênis adidas Lite Racer 4.0 - Feminino,,,,
Adidas,Duramo Rc2,452,15,,2025-07-28,2026-05-21,Tênis Masculino adidas Duramo RC2 | Tênis Feminino adidas Duramo RC2 | Tênis Feminino Adidas Duramo RC2 | Tênis adidas Duramo RC2 Masculino,,,,
Adidas,Barreda Decode,446,14,,2025-07-28,2026-05-21,Tênis adidas Barreda Decode - Masculino | Tênis Masculino adidas Barreda Decode | Tênis adidas Barreda Decode - Feminino | Tênis adidas Barreda Decode Masculino,,,,
Adidas,Courtblock,426,16,,2025-07-28,2026-05-21,Tênis adidas Courtblock - Masculino | Tênis adidas Courtblock Masculino | Tênis Feminino adidas Courtblock | Tênis adidas Courtblock - Feminino,,,,
Adidas,Galaxy,421,23,"5,6,7",2023-08-30,2026-05-21,Tênis adidas Galaxy 7 - Masculino | Tênis Masculino adidas Galaxy 7 | Tênis adidas Galaxy 7 - Feminino | Tênis Feminino adidas Galaxy 7,,,,
Adidas,Adilette Aqua,407,24,,2023-09-27,2026-05-21,Chinelo adidas Adilette Aqua - Slide - Unissex | Chinelo adidas Adilette Aqua - Unissex | Chinelo adidas Adilette Aqua - Masculino | Chinelo adidas Adilette Aqua Unissex,,,,
Adidas,Copa Pure,400,44,"2,3,23",2025-07-28,2026-05-21,Chuteira Society adidas Copa Pure 2 Club Adulto | Chuteira Society Adulto adidas Copa Pure 2 Club | Chuteira Society Adulto adidas Copa Pure 3 Club | Chuteira Society adidas Copa Pure 2 Club Jr - Infantil,,,,
Adidas,Run,386,43,"50,60,70,72,84",2023-09-14,2026-05-21,Tênis adidas Run 70S 2.0 - Masculino | Tênis adidas Run 70s 2.0 Masculino | Tênis adidas Run 72 - Masculino | Tênis Feminino adidas Run 70s 2.0,,,,
Adidas,Response Runner,374,20,"2,3",2023-09-27,2026-05-21,Tênis Unissex adidas Response Runner 2 | Tênis adidas Response Runner - Unissex | Tênis Unissex adidas Response Runner | Tênis Masculino adidas Response Runner,,,,
Adidas,Adizero Drive RC,367,17,,2025-07-28,2026-05-21,Tênis adidas Adizero Drive RC Masculino | Tênis adidas Adizero Drive RC Feminino | Tênis adidas Adizero Drive RC -Masculino | Tênis Feminino adidas Adizero Drive RC,,,,
Adidas,Grand Court Base,354,24,"0,2,3",2023-09-01,2026-05-21,Tênis adidas Grand Court Base 00S - Masculino | Tênis adidas Grand Court Base 00S - Feminino | Tênis Masculino adidas Grand Court Base | Tênis Masculino adidas Grand Court Base 00S,,,,
Adidas,Predator,350,58,"1,3,4,22,23,24,25",2023-09-06,2026-05-21,Chuteira Society adidas Predator 24 Club - Adulto | Chuteira Society Infantil adidas Predator 25 Essentials | Chuteira Society Adulto adidas Predator 25 Essentials | Chuteira de Campo Adulto adidas Predator 25 Essentials,,,,
Adidas,Grand Court Base 2.0,323,17,,2025-07-28,2026-05-21,Tênis adidas Grand Court Base 2.0 - Masculino | Tênis Masculino adidas Grand Court Base 2.0 | Tênis adidas Grand Court Base 2.0 - Feminino | Tênis Feminino adidas Grand Court Base 2.0,,,,
Adidas,Adizero Boston,318,11,"11,12,13",2025-07-28,2026-05-21,Tênis Masculino adidas Adizero Boston 13 | Tênis Feminino adidas Adizero Boston 13 | Tênis adidas Adizero Boston 12 - Masculino | Tênis adidas Adizero Boston 12 - Feminino,,,,
Adidas,Ultrarun,315,19,5,2025-07-28,2026-05-21,Tênis adidas UltraRun 5 Feminino | Tênis adidas UltraRun 5 Masculino | Tênis Feminino adidas Ultrarun 5 | Tênis adidas Ultrarun 5 Tr - Masculino,,,,
Adidas,Grand Court,306,24,"0,2,20",2025-07-28,2026-05-21,Tênis Infantil adidas Grand Court | Tênis adidas Grand Court - Infantil | Tênis Infantil adidas Grand Court 00s | Tênis adidas Grand Court 00S - Infantil,,,,
Adidas,Streettalk,304,14,,2025-09-25,2026-05-21,Tênis Infantil adidas Streettalk | Tênis Masculino adidas Streettalk | Tênis Feminino adidas Streettalk | Tênis adidas Streettalk Feminino,,,,
Adidas,Deportivo Iii,302,18,,2025-07-28,2026-05-21,Chuteira de Campo adidas Deportivo III Júnior | Chuteira de Campo adidas Deportivo III Adulto | Chuteira Society adidas Deportivo III Adulto | Chuteira Society adidas Deportivo III Júnior,,,,
Adidas,Adizero Evo SL,291,15,2,2025-07-28,2026-05-21,Tênis Masculino adidas Adizero EVO SL | Tênis Feminino adidas Adizero Evo SL | Tênis Masculino adidas Adizero Evo SL | Tênis adidas Adizero Evo SL - Feminino,,,,
Adidas,Lightblaze,291,13,,2025-07-28,2026-05-21,Tênis adidas Lightblaze - Feminino | Tênis adidas Lightblaze - Masculino | Tênis Masculino adidas Lightblaze | Tênis adidas Lightblaze Masculino,,,,
Adidas,Park St 2.0,288,15,,2025-07-28,2026-05-21,Tênis Masculino adidas Park St 2.0 | Tênis Feminino adidas Park St 2.0 | Tênis Masculino adidas Park ST 2.0 | Tênis Feminino adidas Park ST 2.0,,,,
